user_input,faithfulness,answer_relevancy,context_recall,context_precision
"What is the score and severity of the threat ""Patient Data Exfiltration""?",1.0,0.0,0.0,0.0
"What is the severity of the threat ""Physician Identity Spoofing""?",1.0,0.9988327783935632,1.0,0.9999999999
"How long is the regulatory deadline for substance reporting in the case of threat ""Controlled Substance Reporting Denial of Service""?",1.0,0.9866399939122898,1.0,0.9999999999
"What threats is the ""Patient"" external entity susceptible to?",1.0,0.9987256764767143,1.0,0.9999999999
"Which threats affect the ""Pharmacy Dispensing & Inventory Records"", and what are their risk levels?",1.0,0.9817271004008531,1.0,0.9999999999
"What threats are assigned to the process ""Manage Clinical Records"", and what is the severity of each?",1.0,0.9828767268067459,1.0,0.9999999999
"Which mitigations address the threat ""Unauthorized Clinical Record Modification""?",1.0,0.992310173282045,1.0,0.9999999999
"What mitigations are linked to ""Controlled Substance Dispensing Record Deletion"", and what are their descriptions?",1.0,0.0,0.0,0.0
"Which single mitigation addresses ""Eligibility Process Elevation of Privilege""?",1.0,0.781274184313871,1.0,0.9999999999
"Which mitigations address the threats affecting the process ""Dispense Medication""?",1.0,0.9895360709402938,1.0,0.9999999999
"Which mitigations address the threats affecting the data store ""Insurance Claims Repository""?",1.0,0.9903979437321735,1.0,0.9999999999
"What threats is the ""Electronic Health Records Database"" data store susceptible to across all cases?",1.0,0.9679350649494606,1.0,0.9999999999
"What process takes as input the data flow outputted by process ""Patient Registration Gateway"" and what is the name of the data flow?",1.0,0.9903845727911198,1.0,0.9999999999
"What processes take as input the data flows provided by data store ""Electronic Health Records Database""?",1.0,0.0,1.0,0.9999999999
"What data stores store data flows outputted by the process ""Dispense Medication""?",1.0,0.8727549246072474,1.0,0.9999999999
"Which data flows cross the ""Hospital Perimeter Network"" trust boundary?",1.0,0.9951387235000204,1.0,0.9999999999
"Which data flows cross the ""Pharmacy Application Zone"" trust boundary?",1.0,0.9893755240393365,1.0,0.9999999999
"In which trust zone do process ""Receive & Validate Prescription"" and data store ""Insurance Claims Repository"" reside in?",1.0,0.9337839160036677,1.0,0.9999999999
"Trace the path from ""Prescribing Physician"" to the data store ""Clinical Audit Trail"".",1.0,0.0,0.0,0.9999999999
"Trace the path from ""Patient"" to the ""Insurance Claims Repository"" data store.",1.0,0.0,0.3333333333333333,0.0
"Trace the path from ""Referring Physician"" to the data store ""Electronic Health Records Database"".",1.0,0.0,0.0,0.9999999999
