user_input,faithfulness,answer_relevancy,context_recall,context_precision
"What is the risk level of ""Carrier Identity Spoofing""?",1.0,0.0,1.0,0.9999999999
"What is the protocol used by ""Receipt Delivery""?",1.0,0.9924641812552012,1.0,0.9999999999
"What is the protocol used by ""Customer Profile Lookup""?",1.0,0.9925120426407882,1.0,0.9999999999
"What is the cost of ""Immutable Append-Only Log Storage""?",1.0,0.9999999999999998,1.0,0.9999999999
"What is the implementation status of ""Return Eligibility Verification Engine""?",1.0,0.0,1.0,0.9999999999
"Which data flows are inputs to ""Screen for Fraud""?",0.0,0.0,0.0,0.0
"Which data store receives ""Refund Execution Audit Entry""?",1.0,0.8357815047793049,1.0,0.9999999999
"Which is the following task after ""Ship Order""?",1.0,0.9817114364163975,1.0,0.9999999999
"Which is the following task after ""Display Return Policy""?",1.0,0.9814893853200259,1.0,0.9999999999
"Which are the possible mitigations for threat ""Payment Data Tampering in Transit""?",1.0,0.9956714079051573,1.0,0.9999999999
"What threats are linked to ""Generate Delivery Milestone""?",1.0,0.9929571731908347,1.0,0.9999999999
"What categories are the mitigations which can counter threat named ""Sensitive Data Leakage in Receipts""?",1.0,0.963430654810287,0.0,0.9999999999
"Which trust boundaries are crossed by the data flows that are input to ""Execute Refund""?",1.0,0.9616328630211657,1.0,0.9999999999
"What trust zone does the data store that stores ""Payment Record Storage"" reside in?",1.0,0.9266351465714942,1.0,0.9999999999
"What mitigations are implemented to data store ""Fraud Rules Repository""?",1.0,0.7948640813886247,1.0,0.9999999999
"What threats impact the data flows which are outputted by the process ""Execute Payment Transaction""?",1.0,0.9603972287005398,0.0,0.9999999999
"What threats impact the data flows which cross the trust boundary named ""Internal Order Management Zone (1)""?",0.0,0.0,0.0,0.0
"What mitigations are implemented for the processes residing in trust zone named ""Internal Network Boundary (2)""?",0.0,0.0,0.0,0.0
"What mitigations secure the data flows stored by the data store ""Customer Database""?",0.3333333333333333,0.9817858974878813,1.0,0.9999999999
"What threats impact the external entity which sends the data flow named ""Carrier Tracking Update""?",1.0,0.9509804744654611,1.0,0.9999999999
"What categories are the threats impacting the data flows which are outputs of the process ""Publish Approved Review""?",0.0,0.0,1.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Audit Log""?",0.5,0.9562236591300998,1.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Order and Shipment Database""?",1.0,0.9547332720234808,1.0,0.9999999999
"What threats impact the process which outputs the data flow which is stored by data store ""Inventory Database""?",1.0,0.9879985848352398,0.0,0.9999999999
"What mitigations are used for the process which outputs the data flow that is taken as input by process ""Assess Return Eligibility""?",0.8,0.0,1.0,0.9999999999
"What are the external entities from the ""Process Payment"" BPMN Sub-Process?",0.0,0.0,0.0,0.0
"What are the data stores from the ""Manage Customer Profile"" BPMN Sub-Process?",0.8,0.9697664808530776,0.0,0.0
"What threats affect the processes from the DFD decomposition of ""Process Tracking Update & Notify Customer"" BPMN Sub-Process?",0.0,0.0,0.0,0.0
"What are the threats and risk levels of threats affecting processes from the DFD decomposition of ""Submit and Moderate Review"" BPMN Sub-Process?",1.0,0.8587984899558302,0.0,0.9999999999
"What are the trust zones from the DFD Decomposition of ""Process Return & Issue Refund"" BPMN Sub-Process?",0.8571428571428571,0.9856495235944367,0.0,0.9999999999
"What threats affect the ""Screen for Fraud"" process?",1.0,0.9922947057439758,1.0,0.9999999999
"What are the threats affecting the ""Execute Payment Transaction"" process?",1.0,0.9989570882413275,1.0,0.9999999999
"What are the threats affecting the ""Session Store"" data store?",1.0,0.9988951760685677,1.0,0.9999999999
"What are the threats affecting the ""Content Moderation Service (ModerateAI)"" external entity?",1.0,0.9939017790505208,1.0,0.9999999999
"What are the threats affecting the ""Order and Shipment Database"" data store?",1.0,0.998892473924953,1.0,0.9999999999
"Which threats can ""Immutable Append-Only Log Storage"" mitigate?",0.8333333333333334,0.9587333821858326,0.5555555555555556,0.9999999999
"Which mitigations are defined for ""Transaction Repudiation""?",1.0,0.9805308341101431,1.0,0.9999999999
"Which mitigations are defined for ""Refund Amount Escalation""?",1.0,0.9854028819596561,1.0,0.9999999999
"Which threats does ""Carrier API Key Authentication and IP Allowlisting"" mitigate?",0.5,0.9767702244470762,1.0,0.9999999999
