ID,user_input,faithfulness,answer_relevancy,context_recall,context_precision,F1 retrieval,F1 generation,,,,ID,Category,faithfulness,answer_relevancy,context_recall,context_precision,F1 retrieval,F1 generation
1,"What is the risk level of ""Carrier Identity Spoofing""?",1,0.998685202,1,1,1,0.999342169,,,,1,Direct relation queries,1.00,0.79,1.00,1.00,1.00,0.80
2,"What is the protocol used by ""Receipt Delivery""?",1,0.992464181,1,1,1,0.99621784,,,,2,1 hop relationship traversal queries,0.93,0.95,0.80,1.00,0.80,0.94
3,"What is the protocol used by ""Customer Profile Lookup""?",1,0.993859377,1,1,1,0.996920233,,,,3,2 hop relationship traversal queries,0.80,0.35,0.70,1.00,0.73,0.37
4,"What is the cost of ""Immutable Append-Only Log Storage""?",1,0.970321174,1,1,1,0.984937062,,,,4,3 hop relationship traversal queries,0.40,0.40,0.00,0.20,0.00,0.20
5,"What is the implementation status of ""Return Eligibility Verification Engine""?",1,0,1,1,1,0,,,,5,4 hop relationship traversal queries,0.20,0.20,0.20,0.40,0.20,0.00
6,"Which data flows are inputs to ""Screen for Fraud""?",1,0.977439111,0,1,0,0.988590855,,,,6,BPMN to DFD decomposition traceability queries,0.70,0.49,0.60,0.60,0.60,0.31
7,"Which data store receives ""Refund Execution Audit Entry""?",1,0.838204136,1,1,1,0.911981558,,,,7,Threat-to-Element Mapping,0.87,1.00,1.00,1.00,1.00,0.90
8,"Which is the following task after ""Ship Order""?",1,0.981711436,1,1,1,0.990771329,,,,8,Mitigation-to-Threat Mapping,1.00,0.99,1.00,1.00,1.00,0.99
9,"Which is the following task after ""Display Return Policy""?",1,0.981819434,1,1,1,0.990826326,,,,9,Cross-case reuse and same-entity traceability queries,0.93,0.93,0.33,0.60,0.20,0.92
10,"Which are the possible mitigations for threat ""Payment Data Tampering in Transit""?",0.666666667,0.995647753,1,1,1,0.798603634,,,,10,Multi-hop end-to-end path queries,0.90,0.00,0.03,1.00,0.06,0.00
11,"What threats are linked to ""Generate Delivery Milestone""?",1,0.992957173,1,1,1,0.996466142,,,,11,Multiple intent questions,1.00,0.99,1.00,1.00,1.00,0.99
12,"What categories are the mitigations which can counter threat named ""Sensitive Data Leakage in Receipts""?",0,0,0.5,1,0.666666667,0,,,,,,,,,,,
13,"Which trust boundaries are crossed by the data flows that are input to ""Execute Refund""?",1,0,0,1,0,0,,,,,,,,,,,
14,"What trust zone does the data store that stores ""Payment Record Storage"" reside in?",1,0,1,1,1,0,,,,,Overall,0.79,0.64,0.61,0.80,0.60,0.58
15,"What mitigations are implemented to data store ""Fraud Rules Repository""?",1,0.736277571,1,1,1,0.848110445,,,,,,,,,,,
16,"What threats impact the data flows which are outputted by the process ""Execute Payment Transaction""?",0,0,0,0,0,0,,,,,,,,,,,
17,"What threats impact the data flows which cross the trust boundary named ""Internal Order Management Zone (1)""?",1,0,0,0,0,0,,,,,,,,,,,
18,"What mitigations are implemented for the processes residing in trust zone named ""Internal Network Boundary (2)""?",0,0,0,0,0,0,,,,,,,,,,,
19,"What mitigations secure the data flows stored by the data store ""Customer Database""?",1,0.992012326,0,1,0,0.995990148,,,,,,,,,,,
20,"What threats impact the external entity which sends the data flow named ""Carrier Tracking Update""?",0,0.993703722,0,0,0,0,,,,,,,,,,,
21,"What categories are the threats impacting the data flows which are outputs of the process ""Publish Approved Review""?",1,0,1,1,1,0,,,,,,,,,,,
22,"What categories are the mitigations which can counter the threats affecting data store ""Audit Log""?",0,0,0,0,0,0,,,,,,,,,,,
23,"What categories are the mitigations which can counter the threats affecting data store ""Order and Shipment Database""?",0,0,0,1,0,0,,,,,,,,,,,
24,"What threats impact the process which outputs the data flow which is stored by data store ""Inventory Database""?",0,0.981011631,0,0,0,0,,,,,,,,,,,
25,"What mitigations are used for the process which outputs the data flow that is taken as input by process ""Assess Return Eligibility""?",0,0,0,0,0,0,,,,,,,,,,,
26,"What are the external entities from the ""Process Payment"" BPMN Sub-Process?",1,0.867327648,1,1,1,0.928950684,,,,,,,,,,,
27,"What are the data stores from the ""Manage Customer Profile"" BPMN Sub-Process?",0,0.753760366,1,1,1,0,,,,,,,,,,,
28,"What threats affect the processes from the DFD decomposition of ""Process Tracking Update & Notify Customer"" BPMN Sub-Process?",1,0,0,0,0,0,,,,,,,,,,,
29,"What are the threats and risk levels of threats affecting processes from the DFD decomposition of ""Submit and Moderate Review"" BPMN Sub-Process?",1,0,0,0,0,0,,,,,,,,,,,
30,"What are the trust zones from the DFD Decomposition of ""Process Return & Issue Refund"" BPMN Sub-Process?",0.5,0.816089356,1,1,1,0.620086586,,,,,,,,,,,
31,"What threats affect the ""Screen for Fraud"" process?",1,0.991774829,1,1,1,0.995870431,,,,,,,,,,,
32,"What are the threats affecting the ""Execute Payment Transaction"" process?",1,0.99895809,1,1,1,0.999478773,,,,,,,,,,,
33,"What are the threats affecting the ""Session Store"" data store?",0.333333333,0.998895176,1,1,1,0.499861782,,,,,,,,,,,
34,"What are the threats affecting the ""Content Moderation Service (ModerateAI)"" external entity?",1,0.993901779,1,1,1,0.996941564,,,,,,,,,,,
35,"What are the threats affecting the ""Order and Shipment Database"" data store?",1,0.998896993,1,1,1,0.999448192,,,,,,,,,,,
36,"Which threats can ""Immutable Append-Only Log Storage"" mitigate?",1,0.997223183,1,1,1,0.998609661,,,,,,,,,,,
37,"Which mitigations are defined for ""Transaction Repudiation""?",1,0.984747778,1,1,1,0.992315285,,,,,,,,,,,
38,"Which mitigations are defined for ""Refund Amount Escalation""?",1,0.985445283,1,1,1,0.992669294,,,,,,,,,,,
39,"Which threats does ""Carrier API Key Authentication and IP Allowlisting"" mitigate?",1,0.980746357,1,1,1,0.990279602,,,,,,,,,,,
40,"Which mitigations are defined for ""Refund Repudiation""?",1,0.983055148,1,1,1,0.991455179,,,,,,,,,,,
41,"To what processes is the external entity ""Customer"" sending data flows across all cases?",1,0.767456157,0,1,0,0.868430206,,,,,,,,,,,
42,"What data flows are being sent by external entity ""Payment Gateway Provider (StripeConnect)"" across all cases?",1,0.957289533,0,0,0,0.978178769,,,,,,,,,,,
43,"To what threats is the data store ""Customer Database"" exposed across all cases?",1,0.974517804,0.666666667,0,0,0.987094471,,,,,,,,,,,
44,"What mitigations are defined for the data flows stored by data store ""Audit Log"" across all cases?",1,0.969582421,0,1,0,0.984556331,,,,,,,,,,,
45,"What threats are being mitigated by mitigation ""Comprehensive Transaction Logging"" across all cases?",0.666666667,0.96648839,1,1,1,0.789056239,,,,,,,,,,,
46,"Trace the path from process ""Screen for Fraud"" to data store ""Payment Records"".",1,0,0,1,0,0,,,,,,,,,,,
47,"Trace the path from external entity ""Payment Gateway Provider (StripeConnect)"" to external entity ""Customer"".",1,0,0,1,0,0,,,,,,,,,,,
