user_input,faithfulness,answer_relevancy,context_recall,context_precision
"What is the risk level of ""Carrier Identity Spoofing""?",1.0,0.9892945999089255,1.0,0.9999999999
"What is the protocol used by ""Receipt Delivery""?",0.0,0.9939107327190981,0.0,0.9999999999
"What is the protocol used by ""Customer Profile Lookup""?",0.0,0.7591022486288326,0.0,0.0
"What is the cost of ""Immutable Append-Only Log Storage""?",1.0,0.9999999999999998,1.0,0.9999999999
"What is the implementation status of ""Return Eligibility Verification Engine""?",1.0,0.0,1.0,0.9999999999
"Which data flows are inputs to ""Screen for Fraud""?",0.5,0.9882233282232017,0.0,0.0
"Which data store receives ""Refund Execution Audit Entry""?",0.0,0.8684246793700372,0.0,0.0
"Which is the following task after ""Ship Order""?",0.0,0.9811931823773078,0.0,0.0
"Which is the following task after ""Display Return Policy""?",1.0,0.9779879012304216,1.0,0.9999999999
"Which are the possible mitigations for threat ""Payment Data Tampering in Transit""?",0.0,0.9956714079051573,0.0,0.0
"What threats are linked to ""Generate Delivery Milestone""?",0.0,0.9929571731908347,1.0,0.9999999999
"What categories are the mitigations which can counter threat named ""Sensitive Data Leakage in Receipts""?",0.0,0.960038363894314,0.5,0.9999999999
"Which trust boundaries are crossed by the data flows that are input to ""Execute Refund""?",1.0,0.924227822960963,1.0,0.9999999999
"What trust zone does the data store that stores ""Payment Record Storage"" reside in?",0.0,0.9266351465714942,0.0,0.0
"What mitigations are implemented to data store ""Fraud Rules Repository""?",0.0,0.9828860887229357,0.0,0.0
"What threats impact the data flows which are outputted by the process ""Execute Payment Transaction""?",0.0,0.9607646458781162,0.0,0.0
"What threats impact the data flows which cross the trust boundary named ""Internal Order Management Zone (1)""?",0.0,0.9482044228199261,0.0,0.0
"What mitigations are implemented for the processes residing in trust zone named ""Internal Network Boundary (2)""?",0.0,0.7989326452422718,0.16666666666666666,0.9999999999
"What mitigations secure the data flows stored by the data store ""Customer Database""?",0.3333333333333333,0.9920023799747171,0.0,0.9999999999
"What threats impact the external entity which sends the data flow named ""Carrier Tracking Update""?",0.0,0.9314512786020154,0.0,0.0
"What categories are the threats impacting the data flows which are outputs of the process ""Publish Approved Review""?",0.0,0.986027277534295,0.0,0.0
"What categories are the mitigations which can counter the threats affecting data store ""Audit Log""?",0.5,0.9692888860788992,1.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Order and Shipment Database""?",0.0,0.9764965768370207,0.0,0.9999999999
"What threats impact the process which outputs the data flow which is stored by data store ""Inventory Database""?",0.6,0.8500265750269523,0.0,0.9999999999
"What mitigations are used for the process which outputs the data flow that is taken as input by process ""Assess Return Eligibility""?",0.0,0.9506648073341726,0.0,0.9999999999
"What are the external entities from the ""Process Payment"" BPMN Sub-Process?",0.0,0.882356647383804,1.0,0.9999999999
"What are the data stores from the ""Manage Customer Profile"" BPMN Sub-Process?",0.0,0.7550470096125421,0.0,0.9999999999
"What threats affect the processes from the DFD decomposition of ""Process Tracking Update & Notify Customer"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
"What are the threats and risk levels of threats affecting processes from the DFD decomposition of ""Submit and Moderate Review"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
"What are the trust zones from the DFD Decomposition of ""Process Return & Issue Refund"" BPMN Sub-Process?",0.0,0.8043781345188468,1.0,0.9999999999
"What threats affect the ""Screen for Fraud"" process?",0.3333333333333333,0.9917748290638845,0.0,0.9999999999
"What are the threats affecting the ""Execute Payment Transaction"" process?",0.0,0.998958089834782,0.0,0.9999999999
"What are the threats affecting the ""Session Store"" data store?",0.0,0.9988951760685677,0.0,0.0
"What are the threats affecting the ""Content Moderation Service (ModerateAI)"" external entity?",0.0,0.9993161185835367,0.0,0.0
"What are the threats affecting the ""Order and Shipment Database"" data store?",0.0,0.998892473924953,0.0,0.0
"Which threats can ""Immutable Append-Only Log Storage"" mitigate?",0.625,0.990891401893665,0.0,0.9999999999
"Which mitigations are defined for ""Transaction Repudiation""?",0.0,0.9805308341101431,0.0,0.9999999999
"Which mitigations are defined for ""Refund Amount Escalation""?",0.0,0.9854452834698296,1.0,0.9999999999
"Which threats does ""Carrier API Key Authentication and IP Allowlisting"" mitigate?",0.5,0.9728097801385736,1.0,0.9999999999
"Which mitigations are defined for ""Refund Repudiation""?",0.0,0.9862242764943584,0.0,0.0
"To what processes is the external entity ""Customer"" sending data flows across all cases?",0.0,0.9552362202508892,0.0,0.9999999999
"What data flows are being sent by external entity ""Payment Gateway Provider (StripeConnect)"" across all cases?",0.0,0.95618051601547,0.0,0.0
"To what threats is the data store ""Customer Database"" exposed across all cases?",0.6,0.9537186352246287,0.0,0.9999999999
"What mitigations are defined for the data flows stored by data store ""Audit Log"" across all cases?",0.0,0.9527365595569202,0.0,0.9999999999
"What threats are being mitigated by mitigation ""Comprehensive Transaction Logging"" across all cases?",0.0,0.964095354409512,0.0,0.0
