user_input,faithfulness,answer_relevancy,context_recall,context_precision
"What is the risk level of ""Carrier Identity Spoofing""?",1.0,0.998685202487999,1.0,0.9999999999
"What is the protocol used by ""Receipt Delivery""?",1.0,0.9924641812552012,1.0,0.9999999999
"What is the protocol used by ""Customer Profile Lookup""?",1.0,0.9938593772239208,1.0,0.9999999999
"What is the cost of ""Immutable Append-Only Log Storage""?",1.0,0.9988035384656923,1.0,0.9999999999
"What is the implementation status of ""Return Eligibility Verification Engine""?",1.0,0.9972791400159833,1.0,0.9999999999
"Which data flows are inputs to ""Screen for Fraud""?",1.0,0.9554471632231881,1.0,0.9999999999
"Which data store receives ""Refund Execution Audit Entry""?",0.0,0.8382041361999742,1.0,0.9999999999
"Which is the following task after ""Ship Order""?",1.0,0.0,0.0,0.0
"Which is the following task after ""Display Return Policy""?",1.0,0.0,0.0,0.0
"Which are the possible mitigations for threat ""Payment Data Tampering in Transit""?",1.0,0.9956714079051573,1.0,0.9999999999
"What threats are linked to ""Generate Delivery Milestone""?",1.0,0.9929571731908347,1.0,0.9999999999
"What categories are the mitigations which can counter threat named ""Sensitive Data Leakage in Receipts""?",1.0,0.9681735592231441,1.0,0.9999999999
"Which trust boundaries are crossed by the data flows that are input to ""Execute Refund""?",1.0,0.9852996106791753,1.0,0.9999999999
"What trust zone does the data store that stores ""Payment Record Storage"" reside in?",1.0,0.9301871533648177,1.0,0.9999999999
"What mitigations are implemented to data store ""Fraud Rules Repository""?",1.0,0.7362775714925301,1.0,0.9999999999
"What threats impact the data flows which are outputted by the process ""Execute Payment Transaction""?",1.0,0.9977674598239052,1.0,0.9999999999
"What threats impact the data flows which cross the trust boundary named ""Internal Order Management Zone (1)""?",1.0,0.9928631902668852,1.0,0.9999999999
"What mitigations are implemented for the processes residing in trust zone named ""Internal Network Boundary (2)""?",0.7,0.9978051734027489,1.0,0.9999999999
"What mitigations secure the data flows stored by the data store ""Customer Database""?",0.0,0.9463804862464884,1.0,0.9999999999
"What threats impact the external entity which sends the data flow named ""Carrier Tracking Update""?",1.0,0.99371112843604,1.0,0.9999999999
"What categories are the threats impacting the data flows which are outputs of the process ""Publish Approved Review""?",1.0,0.8202484749626372,1.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Audit Log""?",0.0,0.9696346151120486,1.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Order and Shipment Database""?",1.0,0.8781136099511678,1.0,0.9999999999
"What threats impact the process which outputs the data flow which is stored by data store ""Inventory Database""?",1.0,0.9875235954507365,1.0,0.9999999999
"What mitigations are used for the process which outputs the data flow that is taken as input by process ""Assess Return Eligibility""?",1.0,0.0,0.0,0.0
"What are the external entities from the ""Process Payment"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
"What are the data stores from the ""Manage Customer Profile"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
"What threats affect the processes from the DFD decomposition of ""Process Tracking Update & Notify Customer"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
"What are the threats and risk levels of threats affecting processes from the DFD decomposition of ""Submit and Moderate Review"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
"What are the trust zones from the DFD Decomposition of ""Process Return & Issue Refund"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
"What threats affect the ""Screen for Fraud"" process?",1.0,0.9917748290638845,1.0,0.9999999999
"What are the threats affecting the ""Execute Payment Transaction"" process?",1.0,0.998958089834782,1.0,0.9999999999
"What are the threats affecting the ""Session Store"" data store?",1.0,0.9988951760685677,1.0,0.9999999999
"What are the threats affecting the ""Content Moderation Service (ModerateAI)"" external entity?",1.0,0.9939017790505208,1.0,0.9999999999
"What are the threats affecting the ""Order and Shipment Database"" data store?",1.0,0.998892473924953,1.0,0.9999999999
"Which threats can ""Immutable Append-Only Log Storage"" mitigate?",1.0,0.9972231830259367,1.0,0.9999999999
"Which mitigations are defined for ""Transaction Repudiation""?",1.0,0.9877482817774992,1.0,0.9999999999
"Which mitigations are defined for ""Refund Amount Escalation""?",1.0,0.9854028819596561,1.0,0.9999999999
"Which threats does ""Carrier API Key Authentication and IP Allowlisting"" mitigate?",1.0,0.9728097801385736,1.0,0.9999999999
"Which mitigations are defined for ""Refund Repudiation""?",1.0,0.9862242764943584,1.0,0.9999999999
"To what processes is the external entity ""Customer"" sending data flows across all cases?",1.0,0.9478644673137061,1.0,0.9999999999
"What data flows are being sent by external entity ""Payment Gateway Provider (StripeConnect)"" across all cases?",1.0,0.9665478820453047,1.0,0.9999999999
"To what threats is the data store ""Customer Database"" exposed across all cases?",1.0,0.9745178035250719,1.0,0.9999999999
"What mitigations are defined for the data flows stored by data store ""Audit Log"" across all cases?",1.0,0.9695669627989876,1.0,0.9999999999
"What threats are being mitigated by mitigation ""Comprehensive Transaction Logging"" across all cases?",1.0,0.9648896571515005,1.0,0.9999999999
"Trace the path from process ""Screen for Fraud"" to data store ""Payment Records"".",1.0,0.0,0.0,0.0
"Trace the path from external entity ""Payment Gateway Provider (StripeConnect)"" to external entity ""Customer"".",1.0,0.0,0.0,0.0
"Trace the path from external entity ""Customer"" to external entity ""Email Delivery Service (SendGrid)"".",1.0,0.0,0.0,0.0
"Trace the path from process ""Receive and Validate Review"" to data store ""Product Reviews Database"".",1.0,0.0,0.0,0.9999999999
"Trace the path from process ""Validate Return Request"" to external entity ""Payment Gateway Provider (StripeConnect)"".",0.0,0.0,1.0,0.9999999999
"What is the risk level of ""Carrier Identity Spoofing"", and what trust boundary does ""Ingest & Validate Carrier Update"" reside in?",1.0,0.970304289564002,1.0,0.9999999999
"Which mitigations are linked to ""Refund Repudiation"", and what protocol is used by ""Refund Authorization Request""?",1.0,0.9920412058098141,1.0,0.9999999999
"What threats affect ""Screen for Fraud"" and what mitigations are applied to ""Fraud Rules Repository""?",1.0,0.9883762768167389,1.0,0.9999999999
"What trust boundaries are crossed by ""Approved Payment Request"" and what threats affect ""Generate Payment Receipt""?",1.0,0.9949999281389973,1.0,0.9999999999
"What is the implementation status of ""Return Eligibility Verification Engine"", and what data store receives ""Return Processing Audit Entry""?",1.0,0.9936552906364038,1.0,0.9999999999
